# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Latitude (° N),Longitude (° E),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°F),Air pressure (mbar)
0,0,0,0,0,0,28.61,-80.6,0,0,0,59,1013
0.011,0.003,0.232,48.682,-0,0,28.61,-80.6,0,0,0,59,1013
0.021,0.02,0.72,48.892,-0,0,28.61,-80.6,0,0,0,59,1013
0.031,0.049,1.21,49.103,-0,0,28.61,-80.6,0,0,0,59,1013
0.041,0.098,1.702,49.314,-0,0,28.61,-80.6,0,0,0,59,1013
0.051,0.161,2.196,49.524,-0,0,28.61,-80.6,0,0,0,59,1013
0.055,0.19,2.394,49.608,-0,0,28.61,-80.6,0,0,0,59,1013
0.061,0.243,2.691,49.353,-0,0,28.61,-80.6,0,0,0,59,1013
0.07,0.328,3.134,48.969,-0,0,28.61,-80.6,0,0,0,58.998,1013
0.08,0.44,3.621,48.542,-0,0,28.61,-80.6,0,0,0,58.998,1013
0.089,0.551,4.056,48.157,-0,0,28.61,-80.6,0,0,0,58.998,1013
0.099,0.692,4.541,48.725,-0,0,28.61,-80.6,0,0,0,58.998,1013
0.109,0.85,5.031,49.293,-0,0,28.61,-80.6,0,0,0,58.996,1013
0.119,1.024,5.527,49.861,-0,0,28.61,-80.6,0,0,0,58.996,1013
0.129,1.214,6.028,50.429,-0,0,28.61,-80.6,0,0,0,58.996,1013
0.139,1.417,6.535,50.998,-0,0,28.61,-80.6,0,0,0,58.995,1013
0.149,1.64,7.048,51.567,-0,0,28.61,-80.6,0,0,0,58.995,1013
0.155,1.785,7.358,51.908,-0,0,28.61,-80.6,0,0,0,58.993,1013
0.164,2.008,7.826,52.008,-0,0,28.61,-80.6,0,0,0,58.993,1013
0.174,2.274,8.347,52.119,-0,0,28.61,-80.6,0,0,0,58.991,1013
0.184,2.556,8.868,52.231,-0,0,28.61,-80.6,0,0,0,58.991,1013
0.194,2.854,9.391,52.342,-0,0,28.61,-80.6,0,0,0,58.989,1013
0.2,3.041,9.705,52.408,-0,0,28.61,-80.6,0,0,0,58.989,1013
0.209,3.337,10.177,52.461,-0,0,28.61,-80.6,0,0,0,58.987,1013
0.219,3.678,10.702,52.519,-0,0,28.61,-80.6,0,0,0,58.987,1013
