State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Apogee Est (m),State - Time to Apogee (s),State - Off-Vert Angle (deg),State - Time in Stage (s),MS5611 - Pres (hPa),MS5611 - Temp (C),MS5611 - Alt ASL (m),MAX-M10S - Lat (deg),MAX-M10S - Lon (deg),MAX-M10S - Alt (m),MAX-M10S - vN (m/s),MAX-M10S - vE (m/s),MAX-M10S - vD (m/s),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,BMI088 - Acc X (m/s^2),BMI088 - Acc Y (m/s^2),BMI088 - Acc Z (m/s^2),BMI088 - Gyro X (rad/s),BMI088 - Gyro Y (rad/s),BMI088 - Gyro Z (rad/s),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage,Bat Voltage - Voltage (V)
0.000,0,39.083,-75.883,0.831,0.024,-0.110,0.096,0.197,0.023,0.092,0.000,0.000,179.283,1997.871,1014.260,32.100,-8.401,39.0824117,-75.8755236,-18.021,0.042,0.027,0.006,30,13:23:53,-9.898,0.115,0.338,0.045,-0.100,-0.013,0.001,0.0,0.072,21.695,3.960
0.271,0,39.085,-75.881,0.830,0.045,-0.071,0.101,-0.006,0.124,0.052,0.000,0.000,179.659,1998.141,1014.270,32.100,-8.484,39.0824118,-75.8755236,-18.038,-0.042,0.047,0.063,31,13:23:53,-9.855,0.294,0.280,0.132,-0.053,-0.081,0.001,0.0,0.024,21.683,3.943
0.541,0,39.086,-75.879,0.891,0.053,-0.041,0.146,-0.054,0.213,0.029,0.000,0.000,179.571,1998.413,1014.270,32.100,-8.484,39.0824119,-75.8755235,-18.074,0.023,-0.003,0.046,31,13:23:54,-9.826,0.381,0.388,-0.009,-0.026,-0.002,0.001,0.0,0.023,21.692,3.949
0.813,0,39.086,-75.877,0.770,0.055,-0.018,0.040,-0.066,0.090,0.123,0.000,0.000,179.692,1998.684,1014.270,32.100,-8.484,39.0824121,-75.8755235,-18.083,0.027,0.005,-0.012,31,13:23:54,-9.927,0.316,0.201,0.066,0.011,0.028,0.001,0.0,0.005,21.692,3.960
1.088,0,39.087,-75.876,0.806,0.069,0.006,0.078,0.067,0.083,0.128,0.000,0.000,179.669,1998.958,1014.260,32.090,-8.401,39.0824124,-75.8755235,-18.117,0.050,-0.016,0.061,31,13:23:54,-9.934,0.180,0.230,-0.009,-0.034,0.017,0.001,0.0,-0.011,21.715,3.937
1.356,0,39.086,-75.875,0.851,0.058,0.010,0.121,0.020,-0.027,0.106,0.000,0.000,179.819,1999.227,1014.280,32.100,-8.567,39.0824126,-75.8755236,-18.129,-0.110,-0.011,-0.065,31,13:23:54,-9.912,0.165,0.194,-0.100,-0.026,0.107,0.001,0.0,-0.010,21.697,3.960
1.630,0,39.086,-75.875,0.966,0.043,0.004,0.210,-0.062,-0.011,0.049,0.000,0.000,179.277,1999.501,1014.230,32.100,-8.151,39.0824128,-75.8755237,-18.149,-0.007,-0.018,-0.044,31,13:23:55,-9.855,0.165,0.244,0.013,-0.053,-0.070,0.001,0.0,0.001,21.686,3.960
1.906,0,39.083,-75.875,0.819,0.006,0.003,0.067,-0.058,-0.045,0.068,0.000,0.000,179.218,1999.776,1014.280,32.100,-8.567,39.0824130,-75.8755238,-18.164,-0.009,-0.028,-0.055,31,13:23:55,-9.876,0.108,0.172,-0.002,-0.011,0.009,0.001,0.0,0.032,21.690,3.954
2.174,0,39.081,-75.875,0.924,-0.029,0.013,0.168,-0.260,0.069,0.115,0.000,0.000,179.090,2000.045,1014.260,32.110,-8.401,39.0824132,-75.8755238,-18.182,-0.020,0.007,0.072,31,13:23:55,-9.920,0.330,0.251,0.058,0.028,0.117,0.001,0.0,-0.019,21.697,3.949
2.447,0,39.080,-75.874,0.804,-0.046,0.016,0.044,-0.052,-0.025,0.050,0.000,0.000,179.705,2000.318,1014.280,32.100,-8.567,39.0824134,-75.8755238,-18.203,0.020,0.008,0.015,31,13:23:55,-9.855,0.251,0.187,-0.058,0.038,0.064,0.001,0.0,0.009,21.702,3.949
