# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Latitude (° N),Longitude (° E),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°F),Air pressure (mbar)
0,0,0,0,0,0,28.61,-80.6,0,0,0,59,1013.25
0.002,0,0.017,23.58,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.004,0,0.098,56.957,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.006,0.001,0.245,90.339,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.008,0.004,0.459,123.726,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.009,0.005,0.596,150.231,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.01,0.008,0.751,159.784,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.012,0.012,0.993,162.989,-0,0,28.61,-80.6,0,0,0,59,1013.25
0.013,0.017,1.24,166.194,-0,0,28.61,-80.6,0,0,0,59,1013.249
0.015,0.027,1.583,177.186,-0,0,28.61,-80.6,0,0,0,59,1013.249
0.017,0.038,1.939,178.874,-0,0,28.61,-80.6,0,0,0,59,1013.249
0.019,0.052,2.299,180.563,-0,0,28.61,-80.6,0,0,0,59,1013.248
0.021,0.068,2.662,182.252,-0,0,28.61,-80.6,0,0,0,59,1013.248
0.023,0.087,3.025,180.97,-0,0,28.61,-80.6,0,0,0,59,1013.247
0.025,0.108,3.385,179.687,-0,0,28.61,-80.6,0,0,0,59,1013.246
0.027,0.132,3.744,178.403,-0,0,28.61,-80.6,0,0,0,59,1013.245
0.029,0.157,4.099,177.118,-0,0,28.61,-80.6,0,0,0,58.999,1013.244
0.031,0.185,4.452,175.833,-0,0,28.61,-80.6,0,0,0,58.999,1013.243
0.033,0.216,4.802,174.547,-0,0,28.61,-80.6,0,0,0,58.999,1013.242
0.035,0.248,5.15,173.26,-0,0,28.61,-80.6,0,0,0,58.999,1013.241
0.036,0.265,5.323,172.617,-0,0,28.61,-80.6,0,0,0,58.999,1013.241
0.038,0.292,5.583,173.765,-0,0,28.61,-80.6,0,0,0,58.999,1013.24
0.04,0.33,5.932,175.296,-0,0,28.61,-80.6,0,0,0,58.999,1013.238
0.042,0.37,6.284,176.828,-0,0,28.61,-80.6,0,0,0,58.999,1013.237
0.044,0.413,6.639,178.36,-0,0,28.61,-80.6,0,0,0,58.999,1013.235
0.045,0.446,6.908,179.51,-0,0,28.61,-80.6,0,0,0,58.998,1013.234
0.047,0.492,7.266,178.837,-0,0,28.61,-80.6,0,0,0,58.998,1013.232
0.049,0.541,7.623,178.163,-0,0,28.61,-80.6,0,0,0,58.998,1013.231
0.051,0.592,7.979,177.489,-0,0,28.61,-80.6,0,0,0,58.998,1013.229
0.053,0.646,8.333,176.815,-0,0,28.61,-80.6,0,0,0,58.998,1013.227
0.055,0.702,8.686,176.14,-0,0,28.61,-80.6,0,0,0,58.997,1013.225
0.057,0.76,9.038,175.465,-0,0,28.61,-80.6,0,0,0,58.997,1013.223
0.059,0.82,9.392,178.519,-0,0,28.61,-80.6,0,0,0,58.997,1013.221
0.061,0.883,9.752,181.573,-0,0,28.61,-80.6,0,0,0,58.997,1013.218
0.063,0.948,10.113,180.07,-0,0,28.61,-80.6,0,0,0,58.997,1013.216
0.065,1.016,10.472,178.566,-0,0,28.61,-80.6,0,0,0,58.996,1013.214
0.067,1.086,10.828,177.062,-0,0,28.61,-80.6,0,0,0,58.996,1013.211
0.069,1.158,11.182,177.41,-0,0,28.61,-80.6,0,0,0,58.996,1013.209
0.071,1.233,11.537,177.759,-0,0,28.61,-80.6,0,0,0,58.996,1013.206
