State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Apogee Est (m),State - Time to Apogee (s),State - Off-Vert Angle (deg),State - Time in Stage (s),MS5611 - Pres (hPa),MS5611 - Temp (C),MS5611 - Alt ASL (m),MAX-M10S - Lat (deg),MAX-M10S - Lon (deg),MAX-M10S - Alt (m),MAX-M10S - vN (m/s),MAX-M10S - vE (m/s),MAX-M10S - vD (m/s),MAX-M10S - Fix Quality,MAX-M10S - Time of Day,BMI088 - Acc X (m/s^2),BMI088 - Acc Y (m/s^2),BMI088 - Acc Z (m/s^2),BMI088 - Gyro X (rad/s),BMI088 - Gyro Y (rad/s),BMI088 - Gyro Z (rad/s),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage,Bat Voltage - Voltage (V)
12.370,0,-433.837,-165.074,-150.869,-70.143,-26.689,-24.393,-5.670,-2.158,-1.972,0.000,0.000,142.052,12.389,1014.370,11.840,-9.315,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.905,0.287,0.223,-0.026,-0.055,0.006,0.000,0.0,0.000,0.000,0.000
18.987,0,-894.511,-320.013,-275.598,-96.133,-29.814,-29.962,-3.928,-0.472,-0.842,0.000,0.000,157.260,19.008,1014.380,11.980,-9.398,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.797,0.302,0.029,-0.006,-0.021,-0.017,0.000,0.0,0.012,23.376,3.949
19.258,0,-3.300,-0.900,-0.474,28.872,15.013,8.994,-3.547,-0.613,-0.588,0.000,0.000,158.574,19.277,1014.440,12.350,-9.897,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.898,0.065,0.151,-0.094,0.045,0.006,0.000,0.0,-0.021,23.371,3.954
19.527,0,1.598,0.869,-0.688,26.921,14.134,8.055,-3.525,-0.659,-0.583,0.000,0.000,158.751,19.547,1014.480,12.510,-10.229,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.898,0.101,0.151,-0.026,-0.045,-0.062,-0.000,-0.0,0.040,23.374,3.954
19.799,0,1.575,0.844,-1.063,22.552,12.175,6.655,-3.507,-0.476,-0.524,0.000,0.000,158.916,19.818,1014.540,12.590,-10.728,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.934,0.172,0.215,0.156,0.013,0.000,0.000,0.0,0.007,23.367,3.972
20.065,0,1.209,0.669,-1.309,17.840,9.994,5.273,-3.493,-0.507,-0.583,0.000,0.000,159.529,20.085,1014.560,12.640,-10.895,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.876,0.187,0.093,0.000,0.013,-0.009,0.000,0.0,0.005,23.371,3.954
20.335,0,0.940,0.543,-1.349,13.521,7.915,4.115,-3.230,-0.624,-0.481,0.000,0.000,160.778,20.355,1014.560,12.670,-10.895,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.891,0.129,0.122,0.064,0.032,-0.015,0.000,0.0,0.001,23.371,3.960
20.608,0,0.697,0.423,-1.312,9.789,6.054,3.174,-3.169,-0.621,-0.542,0.000,0.000,161.578,20.628,1014.560,12.700,-10.895,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.812,0.208,0.043,-0.004,-0.081,0.030,0.000,0.0,0.001,23.374,3.954
20.876,0,0.478,0.311,-1.491,6.840,4.558,2.253,-3.012,-0.713,-0.438,0.000,0.000,162.096,20.895,1014.580,12.720,-11.061,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.869,0.065,0.072,0.006,0.047,-0.070,0.000,0.0,-0.020,23.390,3.949
21.147,0,0.321,0.231,-1.460,4.511,3.376,1.669,-2.937,-0.394,-0.253,0.000,0.000,162.565,21.167,1014.540,12.740,-10.728,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0,00:00:00,-9.999,0.287,0.259,0.077,0.119,0.009,0.000,0.0,0.010,23.392,3.954
